37.7749,-122.4194
34.0522,-118.2437
40.7128,-74.0060
51.5074,-0.1278
48.8566,2.3522
35.682839,-105.938113
51.1657,10.4515
52.5200,13.4050
55.7558,37.6176
41.8781,-87.6298
45.5051,-73.5585
52.3667,4.8945
34.0522,-118.2437
37.7749,-122.4194
40.7128,-74.0060
51.5074,-0.1278
48.8566,2.3522
35.682839,-105.938113
51.1657,10.4515
52.5200,13.4050
55.7558,37.6176
41.8781,-87.6298
45.5051,-73.5585
52.3667,4.8945
34.0522,-118.2437
37.7749,-122.4194
40.7128,-74.0060
51.5074,-0.1278
48.8566,2.3522
35.682839,-105.938113
51.1657,10.4515
52.5200,13.4050
55.7558,37.6176
41.8781,-87.6298
45.5051,-73.5585
52.3667,4.8945
34.0522,-118.2437
37.7749,-122.4194
40.7128,-74.0060
51.5074,-0.1278
48.8566,2.3522
35.682839,-105.938113
51.1657,10.4515
52.5200,13.4050
55.7558,37.6176
41.8781,-87.6298
45.5051,-73.5585
52.3667,4.8945
34.0522,-118.2437
37.7749,-122.4194
